Fecha,Solicitudes
2022-07-17,43.0
2022-07-18,56.0
2022-07-19,39.0
2022-07-20,39.0
2022-07-21,56.0
2022-07-22,27.0
2022-07-23,78.0
2022-07-24,51.0
2022-07-25,56.0
2022-07-26,62.0
2022-07-27,40.0
2022-07-28,42.0
2022-07-29,50.0
2022-07-30,27.0
2022-07-31,39.0
2022-08-01,65.0
2022-08-02,26.0
2022-08-03,59.0
2022-08-04,31.0
2022-08-05,45.0
2022-08-06,27.0
2022-08-07,42.0
2022-08-08,35.0
2022-08-09,51.0
2022-08-10,21.0
2022-08-11,46.0
2022-08-12,58.0
2022-08-13,31.0
2022-08-14,54.0
2022-08-15,70.0
2022-08-16,85.0
2022-08-17,46.0
2022-08-18,31.0
2022-08-19,56.0
2022-08-20,42.0
2022-08-21,27.0
2022-08-22,62.0
2022-08-23,44.0
2022-08-24,49.0
2022-08-25,60.0
2022-08-26,43.0
2022-08-27,42.0
2022-08-28,68.0
2022-08-29,61.0
2022-08-30,49.0
2022-08-31,67.0
